date,category,amount,note,cat_mean,cat_std,z_score,amount_feature,anomaly_score,is_anomaly
2024-01-01,Groceries,99.32,Groceries purchase,83.44836956521739,43.79490760895957,0.3624081269105265,99.32,1,✅ Normal
2024-01-02,Utilities,72.56,Utilities purchase,108.79351851851852,26.564199726897385,-1.3639981211943133,72.56,1,✅ Normal
2024-01-02,Dining,45.45,Dining purchase,43.48278260869565,62.29966675796977,0.031576692038287564,45.45,1,✅ Normal
2024-01-03,Healthcare,22.54,Healthcare purchase,66.80322314049586,66.93434885785321,-0.6612931013118026,22.54,1,✅ Normal
2024-01-04,Utilities,80.94,Utilities purchase,108.79351851851852,26.564199726897385,-1.0485359545883723,80.94,1,✅ Normal
2024-01-05,Utilities,124.44,Utilities purchase,108.79351851851852,26.564199726897385,0.5890063183660956,124.44,1,✅ Normal
2024-01-06,Utilities,100.43,Utilities purchase,108.79351851851852,26.564199726897385,-0.31484172700486435,100.43,1,✅ Normal
2024-01-06,Shopping,165.7,Shopping purchase,162.02254098360655,248.01568525964717,0.014827525979026354,165.7,1,✅ Normal
2024-01-06,Groceries,100.7,Groceries purchase,83.44836956521739,43.79490760895957,0.39391863978389285,100.7,1,✅ Normal
2024-01-06,Transport,37.93,Transport purchase,37.24791304347826,81.98109806209021,0.008320051483149722,37.93,1,✅ Normal
2024-01-07,Entertainment,17.15,Entertainment purchase,48.73046511627906,56.86604519972332,-0.5553483630761212,17.15,1,✅ Normal
2024-01-07,Healthcare,27.74,Healthcare purchase,66.80322314049586,66.93434885785321,-0.5836050369811387,27.74,1,✅ Normal
2024-01-07,Shopping,47.99,Shopping purchase,162.02254098360655,248.01568525964717,-0.4597795533142433,47.99,1,✅ Normal
2024-01-08,Shopping,165.28,Shopping purchase,162.02254098360655,248.01568525964717,0.013134084697035297,165.28,1,✅ Normal
2024-01-08,Rent,1014.49,Rent purchase,1001.6860483870968,118.48075726455069,0.10806777326983005,1014.49,1,✅ Normal
2024-01-08,Healthcare,26.3,Healthcare purchase,66.80322314049586,66.93434885785321,-0.6051186547957841,26.3,1,✅ Normal
2024-01-09,Entertainment,50.41,Entertainment purchase,48.73046511627906,56.86604519972332,0.02953493385766705,50.41,1,✅ Normal
2024-01-09,Dining,17.06,Dining purchase,43.48278260869565,62.29966675796977,-0.4241239798496271,17.06,1,✅ Normal
2024-01-09,Utilities,129.58,Utilities purchase,108.79351851851852,26.564199726897385,0.7824998191243943,129.58,1,✅ Normal
2024-01-10,Utilities,137.98,Utilities purchase,108.79351851851852,26.564199726897385,1.098714878729394,137.98,1,✅ Normal
2024-01-11,Shopping,101.61,Shopping purchase,162.02254098360655,248.01568525964717,-0.24358354964671194,101.61,1,✅ Normal
2024-01-11,Entertainment,21.39,Entertainment purchase,48.73046511627906,56.86604519972332,-0.4807871730881698,21.39,1,✅ Normal
2024-01-11,Entertainment,24.67,Entertainment purchase,48.73046511627906,56.86604519972332,-0.423107761965415,24.67,1,✅ Normal
2024-01-11,Shopping,146.33,Shopping purchase,162.02254098360655,248.01568525964717,-0.0632723731451825,146.33,1,✅ Normal
2024-01-12,Transport,31.37,Transport purchase,37.24791304347826,81.98109806209021,-0.07169839368370613,31.37,1,✅ Normal
2024-01-13,Shopping,198.11,Shopping purchase,162.02254098360655,248.01568525964717,0.14550474490600693,198.11,1,✅ Normal
2024-01-13,Transport,28.49,Transport purchase,37.24791304347826,81.98109806209021,-0.10682844278135022,28.49,1,✅ Normal
2024-01-14,Entertainment,69.0,Entertainment purchase,48.73046511627906,56.86604519972332,0.3564435475076709,69.0,1,✅ Normal
2024-01-14,Groceries,58.32,Groceries purchase,83.44836956521739,43.79490760895957,-0.5737737772981767,58.32,1,✅ Normal
2024-01-15,Entertainment,38.08,Entertainment purchase,48.73046511627906,56.86604519972332,-0.18729041344220093,38.08,1,✅ Normal
2024-01-16,Utilities,142.18,Utilities purchase,108.79351851851852,26.564199726897385,1.256822408531895,142.18,1,✅ Normal
2024-01-17,Utilities,118.99,Utilities purchase,108.79351851851852,26.564199726897385,0.3838429761223749,118.99,1,✅ Normal
2024-01-17,Healthcare,90.77,Healthcare purchase,66.80322314049586,66.93434885785321,0.35806394278073544,90.77,1,✅ Normal
2024-01-17,Rent,857.15,Rent purchase,1001.6860483870968,118.48075726455069,-1.2199115850042075,857.15,1,✅ Normal
2024-01-18,Utilities,127.05,Utilities purchase,108.79351851851852,26.564199726897385,0.6872588547433637,127.05,1,✅ Normal
2024-01-18,Shopping,154.46,Shopping purchase,162.02254098360655,248.01568525964717,-0.030492188329497502,154.46,1,✅ Normal
2024-01-19,Dining,21.88,Dining purchase,43.48278260869565,62.29966675796977,-0.34675598976509914,21.88,1,✅ Normal
2024-01-19,Dining,49.01,Dining purchase,43.48278260869565,62.29966675796977,0.08871985483930812,49.01,1,✅ Normal
2024-01-19,Healthcare,48.96,Healthcare purchase,66.80322314049586,66.93434885785321,-0.26657797446254483,48.96,1,✅ Normal
2024-01-19,Transport,30.38,Transport purchase,37.24791304347826,81.98109806209021,-0.0837743480610213,30.38,1,✅ Normal
2024-01-20,Healthcare,67.71,Healthcare purchase,66.80322314049586,66.93434885785321,0.013547257498983572,67.71,1,✅ Normal
2024-01-20,Healthcare,50.53,Healthcare purchase,66.80322314049586,66.93434885785321,-0.24312215503963283,50.53,1,✅ Normal
2024-01-21,Shopping,194.79,Shopping purchase,162.02254098360655,248.01568525964717,0.13211849477217238,194.79,1,✅ Normal
2024-01-21,Groceries,94.42,Groceries purchase,83.44836956521739,43.79490760895957,0.2505229725050963,94.42,1,✅ Normal
2024-01-21,Dining,45.68,Dining purchase,43.48278260869565,62.29966675796977,0.035268525590038846,45.68,1,✅ Normal
2024-01-21,Shopping,158.35,Shopping purchase,162.02254098360655,248.01568525964717,-0.014807696455818009,158.35,1,✅ Normal
2024-01-22,Dining,28.21,Dining purchase,43.48278260869565,62.29966675796977,-0.2451503098408124,28.21,1,✅ Normal
2024-01-22,Transport,28.15,Transport purchase,37.24791304347826,81.98109806209021,-0.11097574024426651,28.15,1,✅ Normal
2024-01-22,Shopping,194.94,Shopping purchase,162.02254098360655,248.01568525964717,0.13272329523002638,194.94,1,✅ Normal
2024-01-23,Dining,54.17,Dining purchase,43.48278260869565,62.29966675796977,0.17154533800033808,54.17,1,✅ Normal
2024-01-23,Shopping,171.5,Shopping purchase,162.02254098360655,248.01568525964717,0.03821314368271313,171.5,1,✅ Normal
2024-01-24,Transport,31.58,Transport purchase,37.24791304347826,81.98109806209021,-0.06913682760366963,31.58,1,✅ Normal
2024-01-24,Transport,24.96,Transport purchase,37.24791304347826,81.98109806209021,-0.14988714879339304,24.96,1,✅ Normal
2024-01-25,Entertainment,44.2,Entertainment purchase,48.73046511627906,56.86604519972332,-0.07966907317657293,44.2,1,✅ Normal
2024-01-26,Entertainment,71.51,Entertainment purchase,48.73046511627906,56.86604519972332,0.4005823651656327,71.51,1,✅ Normal
